Expression;Human Translation;Google Translate;DeepL;Yandex Translate;Language;Category
Ate and left no crumbs;сделал идеально;съел и не оставил крошек;сделал идеально;съел без крошек;English;😂 Мемдер
Glow down;изменение в худшую сторону;сияние вниз;ухудшение внешности;глоу даун;English;😂 Мемдер
Clap back;резко ответить;хлопнуть в ответ;резко ответить;ответить жестко;English;🌍 Интернет сленги
Ratio;ответ набрал больше реакции;соотношение;получить больше реакции;рейшо;English;📱 Социалдык тармактар
Cancel culture;культура отмены;культура отмены;культура отмены;культура отмены;English;📱 Социалдык тармактар
Tea;сплетни / новости;чай;сплетни;чай;English;🌍 Интернет сленги
Throw shade;тонко критиковать;бросать тень;тонко критиковать;кидать тень;English;🌍 Интернет сленги
Savage;дерзкий / жесткий;дикарь;жесткий;сэвэдж;English;🌍 Интернет сленги
Big mood;очень жизненно;большое настроение;очень жизненно;большой вайб;English;😂 Мемдер
Pass the vibe check;подходить по вайбу;пройти проверку вибраций;подходить по атмосфере;пройти вайб чек;English;🌍 Интернет сленги
Fail the vibe check;не подходить по вайбу;не пройти проверку вибраций;не подходить по атмосфере;не пройти вайб чек;English;🌍 Интернет сленги
Go touch some grass;оторвись от интернета;иди потрогай траву;оторвись от интернета;иди потрогай траву;English;🌍 Интернет сленги
Overthinking;чрезмерное обдумывание;слишком много думать;навязчивые мысли;оверthinking;English;🧠 Психология
Attachment issues;проблемы с привязанностью;проблемы привязанности;трудности в отношениях;проблемы с привязанностью;English;🧠 Психология
People pleaser;человек который всем угождает;угодник людям;человек стремящийся всем понравиться;пипл плизер;English;🧠 Психология
Inner child;внутренний ребенок;внутренний ребенок;детская часть личности;внутренний ребенок;English;🧠 Психология
Emotional baggage;эмоциональный груз прошлого;эмоциональный багаж;психологический груз;эмоциональный багаж;English;🧠 Психология
Anxiety attack;приступ тревоги;атака тревоги;приступ паники;тревожная атака;English;🧠 Психология
Emotional burnout;эмоциональное выгорание;эмоциональное выгорание;моральное истощение;эмоциональный burnout;English;🧠 Психология
Self-esteem;самооценка;самооценка;уверенность в себе;самооценка;English;🧠 Психология
Self-sabotage;саморазрушительное поведение;самосаботаж;мешать самому себе;самосаботаж;English;🧠 Психология
Trauma response;реакция на травму;травматический ответ;реакция психики на травму;реакция на травму;English;🧠 Психология
Emotional support;эмоциональная поддержка;эмоциональная поддержка;моральная поддержка;эмоциональная поддержка;English;🧠 Психология
Safe space;безопасная психологическая среда;безопасное пространство;комфортная среда;безопасное пространство;English;🧠 Психология
Boundary issues;проблемы с личными границами;проблемы границ;нарушение личных границ;проблемы с границами;English;🧠 Психология
Emotional trigger;эмоциональный триггер;эмоциональный спусковой механизм;сильный раздражитель;эмоциональный триггер;English;🧠 Психология
Gaslighting;психологическая манипуляция;газлайтинг;манипуляция восприятием;газлайтинг;English;🧠 Психология
Toxic positivity;токсичный позитив;токсичная позитивность;навязчивый позитив;токсичный позитив;English;🧠 Психология
Mental breakdown;нервный срыв;психический срыв;нервный срыв;ментальный срыв;English;🧠 Психология
Emotional intelligence;эмоциональный интеллект;эмоциональный интеллект;умение понимать эмоции;эмоциональный интеллект;English;🧠 Психология
Social anxiety;социальная тревожность;социальная тревога;страх общения;социальная тревожность;English;🧠 Психология
Coping mechanism;механизм психологической защиты;механизм преодоления;способ справляться со стрессом;копинг механизм;English;🧠 Психология
Machine translation;машинный перевод;машинный перевод;автоматический перевод;машинный перевод;English;🤖 NLP терминдери
Natural language processing;обработка естественного языка;обработка естественного языка;NLP;обработка натурального языка;English;🤖 NLP терминдери
Corpus linguistics;корпусная лингвистика;корпусная лингвистика;корпусная лингвистика;лингвистика корпусов;English;🤖 NLP терминдери
Neural network;нейронная сеть;нейронная сеть;нейросеть;нейронная сеть;English;🤖 NLP терминдери
Deep learning;глубокое обучение;глубокое обучение;глубинное обучение;глубокое обучение;English;🤖 NLP терминдери
Training dataset;обучающий набор данных;тренировочный датасет;обучающий набор данных;тренировочные данные;English;🤖 NLP терминдери
Speech recognition;распознавание речи;распознавание речи;распознавание голоса;распознавание речи;English;🤖 NLP терминдери
Speech synthesis;синтез речи;синтез речи;голосовой синтез;синтез речи;English;🤖 NLP терминдери
Text preprocessing;предобработка текста;предварительная обработка текста;предобработка текста;обработка текста;English;🤖 NLP терминдери
Tokenization;токенизация;токенизация;разбиение на токены;токенизация;English;🤖 NLP терминдери
Part-of-speech tagging;морфологическая разметка;маркировка частей речи;морфологическая разметка;разметка частей речи;English;🤖 NLP терминдери
Named entity recognition;распознавание именованных сущностей;распознавание именованных сущностей;NER;распознавание сущностей;English;🤖 NLP терминдери
Parallel corpus;параллельный корпус;параллельный корпус;параллельный корпус;параллельный корпус;English;🤖 NLP терминдери
Word embedding;векторное представление слова;встраивание слов;эмбеддинг слов;вектор слова;English;🤖 NLP терминдери
Transformer model;трансформерная модель;модель трансформера;трансформер модель;модель трансформер;English;🤖 NLP терминдери
Language model;языковая модель;языковая модель;языковая модель;языковая модель;English;🤖 NLP терминдери
Semantic analysis;семантический анализ;семантический анализ;анализ смысла;семантический анализ;English;🤖 NLP терминдери
Syntax parsing;синтаксический разбор;синтаксический анализ;синтаксический разбор;разбор синтаксиса;English;🤖 NLP терминдери
Automatic translation quality;качество машинного перевода;качество автоматического перевода;качество перевода ИИ;качество машинного перевода;English;🤖 NLP терминдери
Computational linguistics;компьютерная лингвистика;вычислительная лингвистика;компьютерная лингвистика;компьютерная лингвистика;English;🤖 NLP терминдери
Deadline;крайний срок;дедлайн;крайний срок;дедлайн;English;💼 Бизнес англис тили
Burnout;выгорание;выгорание;эмоциональное выгорание;выгорание;English;💼 Бизнес англис тили
Work-life balance;баланс работы и личной жизни;баланс работы и жизни;баланс между работой и жизнью;баланс работы и жизни;English;💼 Бизнес англис тили
Think outside the box;мыслить нестандартно;думать вне коробки;мыслить креативно;думать вне рамок;English;💼 Бизнес англис тили
Team player;человек умеющий работать в команде;командный игрок;командный сотрудник;тим плеер;English;💼 Бизнес англис тили
Multitasking;многозадачность;многозадачность;выполнение нескольких задач;мультизадачность;English;💼 Бизнес англис тили
Remote work;удаленная работа;удаленная работа;работа дистанционно;работа онлайн;English;💼 Бизнес англис тили
Workload;рабочая нагрузка;рабочая нагрузка;объем работы;нагрузка по работе;English;💼 Бизнес англис тили
Job interview;собеседование;интервью на работу;собеседование;рабочее интервью;English;💼 Бизнес англис тили
Networking;полезные профессиональные знакомства;сетевое взаимодействие;профессиональные связи;нетворкинг;English;💼 Бизнес англис тили
Career growth;карьерный рост;рост карьеры;карьерное развитие;карьерный рост;English;💼 Бизнес англис тили
Overtime;сверхурочная работа;сверхурочное время;переработка;овертайм;English;💼 Бизнес англис тили
Micromanaging;чрезмерный контроль сотрудников;микроуправление;чрезмерный контроль;микроменеджмент;English;💼 Бизнес англис тили
Performance review;оценка работы сотрудника;обзор производительности;оценка эффективности;оценка работы;English;💼 Бизнес англис тили
Corporate culture;корпоративная культура;корпоративная культура;культура компании;корпоративная культура;English;💼 Бизнес англис тили
Brainstorming;мозговой штурм;мозговой штурм;генерация идей;брейншторм;English;💼 Бизнес англис тили
Time management;управление временем;управление временем;тайм-менеджмент;управление временем;English;💼 Бизнес англис тили
Work under pressure;работать под давлением;работать под давлением;работать в стрессовых условиях;работать под давлением;English;💼 Бизнес англис тили
Promotion;повышение по работе;продвижение;повышение должности;повышение;English;💼 Бизнес англис тили
Job satisfaction;удовлетворенность работой;удовлетворение работой;удовлетворенность работой;удовольствие от работы;English;💼 Бизнес англис тили
I feel empty;я чувствую пустоту;я чувствую себя пустым;я чувствую пустоту;чувствую пустоту;English;💔 Эмоционалдык сөздөр
This broke me;это меня сломало;это сломало меня;это меня сломало;это меня разбило;English;💔 Эмоционалдык сөздөр
My heart sank;у меня сердце упало;мое сердце утонуло;у меня упало сердце;сердце ушло в пятки;English;💔 Эмоционалдык сөздөр
I’m overwhelmed;я эмоционально перегружен;я переполнен;я перегружен эмоционально;я overwhelmed;English;💔 Эмоционалдык сөздөр
I can’t handle this;я не могу с этим справиться;я не могу справиться с этим;мне тяжело это выдержать;не могу это вынести;English;💔 Эмоционалдык сөздөр
I’m mentally exhausted;я морально выгорел;я умственно истощен;я морально истощен;ментально устал;English;💔 Эмоционалдык сөздөр
I feel lost;я чувствую себя потерянным;я чувствую себя потерянным;я растерян;чувствую себя потерянным;English;💔 Эмоционалдык сөздөр
I’m drained;я выжат эмоционально;я осушен;я полностью вымотан;я без сил;English;💔 Эмоционалдык сөздөр
I miss those days;я скучаю по тем временам;я скучаю по тем дням;я скучаю по тому времени;скучаю по тем дням;English;💔 Эмоционалдык сөздөр
I feel numb;я ничего не чувствую;я чувствую онемение;я эмоционально опустошен;чувствую пустоту;English;💔 Эмоционалдык сөздөр
I’m overthinking again;я снова себя накручиваю;я снова слишком много думаю;я снова накручиваю себя;опять overthinking;English;🧠 Психология
I need a hug;мне нужны объятия;мне нужно объятие;мне хочется поддержки;нужны объятия;English;💔 Эмоционалдык сөздөр
I’m not okay;мне плохо;я не в порядке;мне плохо;я не окей;English;💔 Эмоционалдык сөздөр
It hurts emotionally;это больно морально;это причиняет эмоциональную боль;это морально больно;эмоционально больно;English;💔 Эмоционалдык сөздөр
I feel anxious;я тревожусь;я чувствую тревогу;мне тревожно;чувствую тревогу;English;🧠 Психология
I feel disconnected;я чувствую отдаленность;я чувствую себя отключенным;я чувствую себя отстраненно;отключен эмоционально;English;💔 Эмоционалдык сөздөр
I’m emotionally tired;я эмоционально устал;я эмоционально устал;я морально устал;эмоционально выгорел;English;💔 Эмоционалдык сөздөр
I feel safe with you;мне спокойно рядом с тобой;я чувствую себя в безопасности с тобой;мне спокойно с тобой;безопасно рядом с тобой;English;💔 Эмоционалдык сөздөр
I just want peace;я просто хочу спокойствия;я просто хочу мира;я хочу спокойствия;хочу покоя;English;💔 Эмоционалдык сөздөр
I needed to hear that;мне было важно это услышать;мне нужно было услышать это;мне важно было это услышать;нужно было это услышать;English;💔 Эмоционалдык сөздөр
Жүрөгү сыздады;на душе стало больно;сердце заныло;стало тяжело на душе;сердце заболело;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзүнө жаш тегеренди;навернулись слезы;слезы закружились в глазах;на глазах появились слезы;слезы навернулись;Kyrgyz;🗣 Кыргыз сөз айкаштары
Ичи ачышты;стало очень жалко;внутри заболело;стало жалко;душа заболела;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көңүлү чөктү;упало настроение;настроение упало;расстроился;душа упала;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жүрөгү тынчып калды;успокоился;сердце успокоилось;успокоился;сердце стало спокойным;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзү жашылданды;позавидовал;глаза позеленели;позавидовал;глаза стали зелеными;Kyrgyz;🗣 Кыргыз сөз айкаштары
Ичи эзилди;стало тяжело на душе;внутри сжалось;душа сжалась;внутри заболело;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көңүлү жылыды;на душе стало тепло;настроение согрелось;стало приятно;душа согрелась;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жүрөгү алып учту;очень обрадовался;сердце улетело;очень обрадовался;сердце взлетело;Kyrgyz;🗣 Кыргыз сөз айкаштары
Башын жоготту;растерялся;потерял голову;растерялся;потерял голову;Kyrgyz;🗣 Кыргыз сөз айкаштары
Story time;история из жизни;время истории;история из жизни;стори тайм;English;📱 Социалдык тармактар
POV;точка зрения;точка зрения;перспектива;пов;English;📱 Социалдык тармактар
Chronically online;слишком зависим от интернета;хронически онлайн;слишком много времени в интернете;вечно онлайн;English;📱 Социалдык тармактар
Cancel culture;культура отмены;культура отмены;культура отмены;культура отмены;English;📱 Социалдык тармактар
Go viral;стать вирусным в интернете;стать вирусным;стать популярным;завируситься;English;📱 Социалдык тармактар
Spam account;дополнительный аккаунт;спам аккаунт;второй аккаунт;спам страница;English;📱 Социалдык тармактар
Mutuals;взаимные подписки;взаимные;взаимные подписчики;мутуалы;English;📱 Социалдык тармактар
Catfish;выдавать себя за другого человека;сом;обманывать личностью;катфишить;English;📱 Социалдык тармактар
Clout chasing;погоня за популярностью;охота за влиянием;искать популярность;клоут чейсинг;English;📱 Социалдык тармактар
Shadow banned;теневой бан;теневой запрет;скрытый бан;теневой бан;English;📱 Социалдык тармактар
Clickbait;кликбейт;приманка для кликов;кликбейт;клик приманка;English;📱 Социалдык тармактар
Doomscrolling;бесконечно листать плохие новости;думскроллинг;бесконечно листать новости;дум скроллинг;English;📱 Социалдык тармактар
Feed aesthetic;эстетика профиля;эстетика ленты;стиль профиля;эстетика фида;English;📱 Социалдык тармактар
Influencer;инфлюенсер;влиятельный человек;блогер-инфлюенсер;инфлюенсер;English;📱 Социалдык тармактар
Go live;выйти в прямой эфир;идти жить;выйти в эфир;запустить лайв;English;📱 Социалдык тармактар
Trending audio;популярный звук;трендовый звук;популярный аудиотрек;тренд аудио;English;📱 Социалдык тармактар
Algorithm pushed it;алгоритм продвинул это;алгоритм толкнул это;алгоритм продвинул публикацию;алгоритм продвинул;English;📱 Социалдык тармактар
Comment section is wild;комментарии это что-то;раздел комментариев дикий;в комментариях хаос;комменты жесть;English;📱 Социалдык тармактар
Terminally online;слишком зависим от интернета;терминально онлайн;слишком зависим от соцсетей;безвылазно онлайн;English;📱 Социалдык тармактар
Digital detox;отдых от интернета;цифровая детоксикация;отдых от гаджетов;детокс от соцсетей;English;📱 Социалдык тармактар
Girl dinner;хаотичный перекус;ужин девушки;легкий случайный ужин;герл диннер;English;😂 Мемдер
Boy math;шуточная мужская логика;математика парней;мужская логика;бой мэс;English;😂 Мемдер
Girl math;шуточная женская логика;математика девушек;женская логика;герл мэс;English;😂 Мемдер
Main character moment;ощущение себя главным героем;момент главного персонажа;ощущение главного героя;главный герой момент;English;😂 Мемдер
NPC energy;поведение как у NPC;энергия NPC;поведение без эмоций;энергия нпс;English;😂 Мемдер
Delulu is the solulu;иллюзии это решение;делулу это солулу;иногда мечты помогают;делулу решение;English;😂 Мемдер
He is so babygirl;он выглядит слишком мило;он такой бейбигерл;он очень милый;он бейби герл;English;😂 Мемдер
It’s giving…;создает ощущение…;это дает…;создает вайб…;это дает вайб;English;😂 Мемдер
Core memory unlocked;всплыло важное воспоминание;основная память разблокирована;вспомнился важный момент;разблокирована память;English;😂 Мемдер
I fear I ate;кажется я был слишком хорош;боюсь я это съел;я отлично справился;я разнес;English;😂 Мемдер
We listen and we don’t judge;мы слушаем без осуждения;мы слушаем и не осуждаем;слушаем без критики;не осуждаем;English;😂 Мемдер
Girlboss;уверенная успешная девушка;герлбосс;успешная девушка;герл босс;English;😂 Мемдер
Sigma male;самостоятельный независимый мужчина;сигма мужчина;независимый мужчина;сигма мейл;English;😂 Мемдер
Ohio meme;странный абсурдный мем;мем Огайо;абсурдный интернет-мем;мем ohio;English;😂 Мемдер
Skibidi;абсурдный интернет-мем;скибиди;мем без прямого значения;скибиди;English;😂 Мемдер
Rizzler;человек с сильной харизмой;риззлер;харизматичный человек;риззлер;English;😂 Мемдер
Mewing;упражнение для линии челюсти;мьюинг;техника для челюсти;мьюинг;English;😂 Мемдер
Negative aura points;минус к репутации;отрицательные очки ауры;потеря уважения;минус аура;English;😂 Мемдер
Bro is cooked;ему конец;бро приготовлен;ему конец;бро попал;English;😂 Мемдер
A blessing in disguise;к лучшему несмотря на трудности;благословение под маской;скрытое благо;благо под прикрытием;English;📖 Идиомалар
Kill two birds with one stone;убить двух зайцев одним выстрелом;убить двух птиц одним камнем;решить две задачи сразу;убить двух птиц одним камнем;English;📖 Идиомалар
Costs an arm and a leg;очень дорого;стоит руку и ногу;очень дорого;стоит конечностей;English;📖 Идиомалар
Hit the nail on the head;попасть в точку;ударить гвоздь по голове;точно подметить;ударить по гвоздю;English;📖 Идиомалар
Bite off more than you can chew;взять на себя слишком много;откусить больше чем можешь прожевать;взять слишком много;откусить слишком много;English;📖 Идиомалар
Burn bridges;сжечь мосты;сжечь мосты;разорвать связи;сжечь мосты;English;📖 Идиомалар
Costs a fortune;стоит целое состояние;стоит состояние;очень дорого;целое состояние;English;📖 Идиомалар
On thin ice;в опасном положении;на тонком льду;в опасной ситуации;на тонком льду;English;📖 Идиомалар
Add fuel to the fire;подливать масла в огонь;добавить топливо в огонь;усугублять ситуацию;добавить огонь;English;📖 Идиомалар
The elephant in the room;очевидная проблема которую все игнорируют;слон в комнате;очевидная проблема;слон в комнате;English;📖 Идиомалар
Башы көккө жетти;был очень счастлив;голова достигла неба;был очень счастлив;голова до неба;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзүнө жаш алды;прослезился;взял слезы в глаза;прослезился;слезы появились в глазах;Kyrgyz;🗣 Кыргыз сөз айкаштары
Оозу-мурду кыйшайды;обиделся;рот и нос искривились;обиделся;перекосило лицо;Kyrgyz;🗣 Кыргыз сөз айкаштары
Сөз таппай калды;не нашел слов;не нашел слова;не нашел слов;не смог подобрать слова;Kyrgyz;🗣 Кыргыз сөз айкаштары
Колун жууп кетти;отказался от чего-то;помыл руки и ушел;отказался от дела;умыл руки;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жүрөгү муздады;успокоился;сердце остыло;успокоился;сердце охладело;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жини келди;разозлился;пришел джинн;разозлился;разозлился;Kyrgyz;🗣 Кыргыз сөз айкаштары
Тили байланды;не смог говорить;язык связался;не смог говорить;язык связался;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзү илинди;захотелось спать;глаза зацепились;начал засыпать;глаза закрываются;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көңүлү жайланды;успокоился;душа успокоилась;успокоился;настроение улучшилось;Kyrgyz;🗣 Кыргыз сөз айкаштары
Адам аласы ичинде мал аласы тышында;у человека недостатки внутри а у скота снаружи;пестрота человека внутри пестрота скота снаружи;истинная сущность человека скрыта внутри;недостатки человека внутри;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жакшынын сөзү жан азыгы;доброе слово питает душу;слово хорошего человека пища для души;добрые слова поддерживают человека;слово хорошего человека пища;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Ат айланып казыгын табат;человек возвращается к своим корням;конь кружась находит колышек;каждый возвращается к своему месту;конь найдет свой кол;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Эл ичи алтын бешик;родная земля золотая колыбель;среди народа золотая колыбель;родной народ самое ценное;народ золотая колыбель;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Улууну урматта кичүүнү ызаатта;уважай старших и заботься о младших;уважай старших уважай младших;уважай всех по возрасту;уважай старших;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Таш менен урганды аш менен ур;на зло отвечай добром;ударившего камнем ударь едой;отвечай добром на зло;ударь едой вместо камня;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Ач кадырын ток билбейт;сытый не поймет голодного;сытый не знает ценность голодного;сытый не понимает голодного;сытый не поймет;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жалгыз дарак токой болбойт;один человек не сможет сделать все;одно дерево не лес;один человек не справится один;одно дерево не лес;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Көп жашаган билбейт көптү көргөн билет;важен опыт а не возраст;долго живший не знает много видевший знает;опыт важнее возраста;видевший многое знает;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Ойноп сүйлөсөң да ойлоп сүйлө;думай прежде чем говорить;даже шутя думай говоря;думай над словами;говори подумав;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Суу көрбөгөн чөмүч алат;неопытный человек торопится;не видевший воды берет ковш;неопытный человек спешит;берет ковш не видя воды;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жакшы адам элге жакын;хороший человек близок народу;хороший человек близок людям;добрый человек любим людьми;хороший человек близок;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Эл менен болсоң эр болосуң;с народом человек становится сильнее;если с народом будешь станешь героем;вместе люди сильнее;с народом станешь сильным;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Билимдүүгө дүйнө жарык;образованному человеку мир открыт;для знающего мир светлый;знания открывают возможности;мир светел знающему;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жигитке жетимиш өнөр аздык кылат;настоящий человек должен многое уметь;для мужчины и семидесяти ремесел мало;человек должен быть разносторонним;семьдесят умений мало;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
First impression matters;первое впечатление важно;первое впечатление имеет значение;первое впечатление важно;важно первое впечатление;English;💼 Бизнес англис тили
Customer satisfaction;удовлетворенность клиентов;удовлетворение клиентов;удовлетворенность клиентов;удовлетворенность клиента;English;💼 Бизнес англис тили
Target audience;целевая аудитория;целевая аудитория;целевая аудитория;целевая аудитория;English;💼 Бизнес англис тили
Brand awareness;узнаваемость бренда;осведомленность о бренде;узнаваемость бренда;знание бренда;English;💼 Бизнес англис тили
Competitive advantage;конкурентное преимущество;конкурентное преимущество;преимущество над конкурентами;конкурентное преимущество;English;💼 Бизнес англис тили
Think big;мысли масштабно;думай широко;мысли масштабно;думай по-крупному;English;💼 Бизнес англис тили
Start from scratch;начать с нуля;начать с царапины;начать заново;начать с нуля;English;💼 Бизнес англис тили
Take responsibility;взять ответственность;взять ответственность;нести ответственность;взять ответственность;English;💼 Бизнес англис тили
Problem-solving skills;навыки решения проблем;навыки решения проблем;умение решать проблемы;скиллы решения проблем;English;💼 Бизнес англис тили
Leadership skills;лидерские качества;лидерские навыки;навыки лидерства;лидерские качества;English;💼 Бизнес англис тили
Stay productive;оставаться продуктивным;оставаться продуктивным;быть продуктивным;оставайся продуктивным;English;💼 Бизнес англис тили
Take initiative;проявлять инициативу;взять инициативу;проявлять инициативу;брать инициативу;English;💼 Бизнес англис тили
Job opportunity;возможность трудоустройства;возможность работы;вакансия;возможность работы;English;💼 Бизнес англис тили
Company policy;политика компании;политика компании;правила компании;политика фирмы;English;💼 Бизнес англис тили
Work ethic;отношение к работе;рабочая этика;трудовая дисциплина;рабочая этика;English;💼 Бизнес англис тили
Quiet quitting;работать без лишней отдачи;тихое увольнение;делать только минимум работы;тихий уход;English;💼 Бизнес англис тили
Clock in;отметиться на работе;зайти по часам;начать рабочий день;отметиться;English;💼 Бизнес англис тили
Clock out;закончить рабочий день;выйти по часам;уйти с работы;отметиться на выходе;English;💼 Бизнес англис тили
Side hustle;дополнительный заработок;боковая суета;подработка;сайд хасл;English;💼 Бизнес англис тили
Office politics;офисные интриги;офисная политика;отношения внутри коллектива;политика офиса;English;💼 Бизнес англис тили
I need space;мне нужно побыть одному;мне нужно пространство;мне нужно личное пространство;нужно пространство;English;💔 Эмоционалдык сөздөр
I feel ignored;я чувствую себя ненужным;я чувствую себя игнорируемым;чувствую себя забытым;чувствую игнор;English;💔 Эмоционалдык сөздөр
You hurt my feelings;ты задел мои чувства;ты ранил мои чувства;ты меня обидел;ты обидел мои чувства;English;💔 Эмоционалдык сөздөр
I’m trying my best;я стараюсь как могу;я пытаюсь как могу;я очень стараюсь;пытаюсь изо всех сил;English;💔 Эмоционалдык сөздөр
I feel lonely;я чувствую одиночество;я чувствую себя одиноким;мне одиноко;чувствую себя одиноко;English;💔 Эмоционалдык сөздөр
I need emotional support;мне нужна эмоциональная поддержка;мне нужна эмоциональная поддержка;мне нужна поддержка;нужна моральная поддержка;English;💔 Эмоционалдык сөздөр
I’m emotionally attached;я эмоционально привязался;я эмоционально привязан;я сильно привязался;эмоционально привязан;English;💔 Эмоционалдык сөздөр
I don’t feel understood;мне кажется меня не понимают;я не чувствую понимания;меня не понимают;не чувствую понимания;English;💔 Эмоционалдык сөздөр
I miss you badly;я очень скучаю по тебе;я сильно скучаю по тебе;я ужасно скучаю;сильно скучаю;English;💔 Эмоционалдык сөздөр
I feel emotionally distant;я чувствую отдаленность;я чувствую эмоциональную дистанцию;я чувствую холод;эмоционально далеко;English;💔 Эмоционалдык сөздөр
My social battery is dead;у меня закончились силы на общение;моя социальная батарея мертва;я устал от общения;социальная батарея села;English;🧠 Психология
I need therapy;мне нужна психологическая помощь;мне нужна терапия;мне нужна помощь психолога;нужна терапия;English;🧠 Психология
